transaction_id,date,account_id,client_id,client_name,gender,age,account_type,transaction_type,amount,channel,city,balance_after
TXN00001,2025-11-07,ACC10203,CL1203,Didier Mbarga,M,43,Savings,Credit,79087,Mobile,Garoua,723097
TXN00002,2025-11-10,ACC10248,CL1248,Emmanuel Mballa,M,48,Current,Credit,489305,Online,Yaoundé,1043804
TXN00003,2025-11-12,ACC10243,CL1243,Clarisse Essomba,F,30,Savings,Debit,207021,Online,Douala,444608
TXN00004,2025-09-18,ACC10279,CL1279,Clarisse Mballa,F,33,Current,Credit,266979,Branch,Bamenda,579480
TXN00005,2025-01-09,ACC10124,CL1124,Chantal Mballa,F,53,Current,Credit,249980,Online,Bamenda,1218026
TXN00006,2025-02-26,ACC10035,CL1035,Jean Nana,M,21,Savings,Credit,354268,Branch,Yaoundé,753047
TXN00007,2025-12-19,ACC10155,CL1155,Solange Ngono,F,25,Current,Credit,418728,ATM,Garoua,1700955
TXN00008,2025-12-02,ACC10267,CL1267,Brigitte Etoa,F,28,Savings,Credit,140214,Mobile,Yaoundé,1236785
TXN00009,2025-03-29,ACC10089,CL1089,Brigitte Mbarga,F,51,Savings,Debit,252893,Branch,Yaoundé,531027
TXN00010,2025-01-17,ACC10241,CL1241,Blaise Essomba,M,22,Savings,Debit,127980,ATM,Garoua,753444
TXN00011,2025-08-14,ACC10057,CL1057,Chantal Etoa,F,38,Savings,Debit,10928,Online,Douala,841320
TXN00012,2025-07-31,ACC10253,CL1253,Blaise Mvondo,M,61,Savings,Credit,80393,Mobile,Douala,262724
TXN00013,2025-11-10,ACC10067,CL1067,Chantal Ngono,F,60,Current,Credit,264097,Branch,Bamenda,1165698
TXN00014,2025-09-23,ACC10297,CL1297,Emmanuel Mbarga,M,46,Current,Debit,73394,Mobile,Bafoussam,1146464
TXN00015,2025-09-02,ACC10077,CL1077,Blaise Mvondo,M,37,Current,Credit,348197,Branch,Douala,2004224
TXN00016,2025-08-24,ACC10272,CL1272,Patrick Nana,M,35,Savings,Credit,91797,Online,Yaoundé,1802879
TXN00017,2025-12-15,ACC10034,CL1034,Nadine Mballa,F,50,Savings,Credit,355349,Online,Douala,1334661
TXN00018,2025-05-07,ACC10166,CL1166,Marie Mballa,F,55,Current,Credit,101801,Online,Yaoundé,924781
TXN00019,2025-06-02,ACC10244,CL1244,Nadine Mvondo,F,49,Savings,Credit,118895,Online,Bamenda,2068615
TXN00020,2025-06-12,ACC10201,CL1201,Emmanuel Ngono,M,60,Savings,Debit,257378,Branch,Yaoundé,363263
TXN00021,2025-05-21,ACC10140,CL1140,Serge Mballa,M,58,Current,Credit,294856,Online,Bamenda,2159438
TXN00022,2025-07-14,ACC10180,CL1180,Emmanuel Nkou,M,43,Current,Debit,285788,Branch,Douala,0
TXN00023,2025-03-16,ACC10103,CL1103,Didier Etoa,M,26,Current,Credit,406308,Online,Douala,1480930
TXN00024,2025-02-10,ACC10258,CL1258,Blaise Mvondo,M,44,Current,Debit,151801,Online,Bamenda,1578328
